interaction_id,user_id,search_category,recommended_platform,chosen_platform,recommended_price,chosen_price,delivery_time,coupon_used,cashback_used,user_clicked_recommendation,booking_completed,savings_amount,user_rating,timestamp
INT003126,USER00050,Ride,Ola,Ola,209.52,209.52,0.08,No,No,Yes,No,159.27,4,2026-06-01 01:45:32
INT003127,USER01570,Medicine,Apollo,PharmEasy,58.49,35.19,40.0,No,Yes,No,Yes,23.3,3,2026-02-12 10:34:30
INT003128,USER00247,Ride,Rapido,Ola,136.4,128.99,0.08,No,No,Yes,Yes,7.41,5,2026-04-14 20:47:50
INT003129,USER00819,Ride,Ola,Ola,384.57,384.57,0.08,No,No,Yes,Yes,22.81,4,2026-06-27 21:39:23
INT003130,USER00163,Ride,Rapido,Rapido,95.67,95.67,0.1,Yes,No,Yes,Yes,54.0,5,2026-05-14 20:11:21
INT003131,USER00646,Medicine,Apollo,Apollo,103.17,103.17,17.2,Yes,No,No,Yes,10.3,5,2026-02-18 13:47:39
INT003132,USER00495,Food,Zomato,Zomato,324.6,324.6,0.48,No,Yes,Yes,Yes,0.0,4,2026-03-24 02:37:59
INT003133,USER00885,Food,Zomato,Zomato,238.43,238.43,0.7,Yes,Yes,Yes,Yes,7.07,4,2026-06-21 21:09:04
INT003134,USER00382,Shopping,Amazon,Amazon,538.83,538.83,48.0,No,Yes,Yes,Yes,15.08,4,2026-07-20 05:11:58
INT003135,USER00395,Food,Swiggy,Swiggy,256.76,256.76,0.62,No,No,Yes,No,33.74,2,2026-04-21 06:04:00
INT003136,USER00375,Food,Swiggy,Swiggy,227.8,227.8,0.38,No,No,No,Yes,36.76,5,2026-06-13 09:28:48
INT003137,USER02389,Medicine,Apollo,Apollo,18.09,18.09,21.2,No,No,Yes,Yes,0.0,5,2026-06-18 14:26:58
INT003138,USER00060,Shopping,Amazon,Amazon,3162.52,3162.52,72.0,Yes,Yes,Yes,Yes,734.96,4,2026-06-06 12:41:24
INT003139,USER00913,Ride,Rapido,Rapido,508.22,508.22,0.1,No,No,Yes,Yes,107.09,4,2026-04-15 06:57:59
INT003140,USER02237,Medicine,Apollo,Apollo,158.46,158.46,0.7,No,No,Yes,Yes,0.0,5,2026-02-05 23:11:22
INT003141,USER01633,Medicine,PharmEasy,PharmEasy,59.72,59.72,23.5,No,Yes,Yes,Yes,47.14,4,2026-03-02 00:19:21
INT003142,USER00084,Shopping,Amazon,Amazon,21839.47,21839.47,48.0,Yes,No,Yes,Yes,9455.33,4,2026-02-16 08:24:27
INT003143,USER00073,Medicine,Netmeds,Netmeds,211.74,211.74,48.3,Yes,No,Yes,Yes,167.88,5,2026-04-05 16:44:34
INT003144,USER00560,Medicine,Netmeds,Netmeds,111.42,111.42,18.4,No,No,Yes,Yes,0.0,5,2026-03-19 17:31:12
INT003145,USER00206,Medicine,Apollo,Apollo,58.44,58.44,20.3,Yes,Yes,Yes,No,0.68,2,2026-05-01 15:21:48
INT003146,USER02399,Shopping,Amazon,Flipkart,745.24,805.38,24.0,No,No,Yes,Yes,0.0,4,2026-07-16 21:08:08
INT003147,USER02388,Ride,Uber,Uber,338.22,338.22,0.12,No,No,Yes,Yes,45.64,5,2026-03-02 18:03:31
INT003148,USER02982,Shopping,Amazon,Amazon,20516.61,20516.61,240.0,Yes,Yes,No,Yes,3801.21,5,2026-06-03 15:26:49
INT003149,USER00291,Food,Swiggy,Swiggy,308.85,308.85,0.35,No,No,Yes,Yes,34.12,4,2026-02-24 01:16:42
INT003150,USER00035,Shopping,Flipkart,Flipkart,3424.5,3424.5,48.0,Yes,Yes,Yes,Yes,1727.67,4,2026-05-26 14:41:31
INT003151,USER00931,Ride,Ola,Uber,267.7,322.42,0.1,Yes,No,No,Yes,0.0,4,2026-07-06 11:15:48
INT003152,USER00243,Shopping,Ajio,Amazon,1061.76,1559.61,96.0,No,No,No,Yes,0.0,4,2026-07-21 05:06:22
INT003153,USER00120,Food,Zomato,Swiggy,250.68,413.12,0.98,No,No,Yes,Yes,0.0,5,2026-03-13 21:47:15
INT003154,USER00356,Ride,Rapido,Rapido,255.7,255.7,0.07,Yes,No,Yes,Yes,240.5,4,2026-02-28 22:47:21
INT003155,USER00011,Shopping,Amazon,Amazon,4947.17,4947.17,72.0,Yes,Yes,Yes,Yes,4805.01,4,2026-07-29 06:29:10
INT003156,USER00769,Ride,Ola,Ola,142.9,142.9,0.1,No,No,No,No,3.06,4,2026-06-19 21:06:52
INT003157,USER01862,Food,Zomato,Zomato,163.64,163.64,0.23,No,Yes,Yes,Yes,13.37,4,2026-04-26 04:46:47
INT003158,USER00491,Shopping,Ajio,Ajio,4631.03,4631.03,120.0,No,No,Yes,Yes,3259.46,4,2026-02-23 19:29:38
INT003159,USER00641,Shopping,Amazon,Amazon,370.33,370.33,48.0,No,No,Yes,Yes,315.6,5,2026-02-19 10:22:09
INT003160,USER00835,Shopping,Amazon,Amazon,8391.24,8391.24,48.0,Yes,No,Yes,Yes,4169.47,5,2026-03-02 00:37:15
INT003161,USER00025,Food,Swiggy,Swiggy,187.15,187.15,0.5,No,No,Yes,Yes,98.22,4,2026-02-18 08:31:21
INT003162,USER00861,Food,Zomato,Zomato,130.85,130.85,0.37,No,No,No,No,26.61,3,2026-06-16 15:02:26
INT003163,USER01010,Ride,Rapido,Rapido,50.76,50.76,0.08,No,Yes,No,Yes,29.14,4,2026-06-16 12:03:26
INT003164,USER00740,Shopping,Flipkart,Flipkart,1034.06,1034.06,24.0,No,No,Yes,Yes,982.2,5,2026-05-07 23:43:41
INT003165,USER00092,Food,Swiggy,Swiggy,274.33,274.33,0.5,Yes,Yes,Yes,Yes,45.39,5,2026-06-16 05:03:31
INT003166,USER00733,Medicine,Apollo,Apollo,21.34,21.34,20.3,No,No,Yes,Yes,2.4,4,2026-06-11 23:01:02
INT003167,USER01348,Ride,Ola,Ola,423.58,423.58,0.05,Yes,No,Yes,Yes,143.38,4,2026-02-28 04:54:05
INT003168,USER00978,Ride,Rapido,Rapido,169.95,169.95,0.03,Yes,Yes,Yes,Yes,54.2,5,2026-06-08 04:29:49
INT003169,USER00568,Food,Swiggy,Swiggy,134.54,134.54,0.47,No,No,No,Yes,52.33,4,2026-06-26 22:17:48
INT003170,USER00250,Ride,Ola,Ola,272.44,272.44,0.13,No,No,Yes,Yes,72.7,5,2026-04-09 21:15:08
INT003171,USER02399,Ride,Rapido,Rapido,163.23,163.23,0.02,Yes,No,Yes,Yes,34.3,4,2026-05-10 05:09:35
INT003172,USER00019,Ride,Ola,Ola,66.98,66.98,0.08,No,No,No,Yes,3.92,5,2026-06-14 20:56:21
INT003173,USER00069,Food,Swiggy,Swiggy,192.75,192.75,0.5,Yes,No,Yes,No,15.51,2,2026-05-23 23:26:38
INT003174,USER00973,Medicine,Apollo,Apollo,33.68,33.68,8.5,No,No,Yes,No,6.23,2,2026-07-20 20:20:58
INT003175,USER02534,Shopping,Amazon,Amazon,1187.17,1187.17,48.0,No,No,Yes,Yes,644.2,5,2026-02-04 22:32:53
INT003176,USER00618,Medicine,Apollo,PharmEasy,97.4,88.87,33.6,No,No,Yes,Yes,8.53,4,2026-02-03 09:41:40
INT003177,USER01300,Ride,Rapido,Rapido,462.52,462.52,0.07,No,No,Yes,No,12.46,2,2026-07-17 19:09:25
INT003178,USER00572,Ride,Ola,Rapido,109.81,181.75,0.12,No,No,No,No,0.0,2,2026-02-21 22:17:35
INT003179,USER00231,Food,Zomato,Zomato,118.32,118.32,0.47,Yes,Yes,Yes,Yes,78.97,4,2026-05-07 14:20:32
INT003180,USER02380,Shopping,Flipkart,Flipkart,1008.32,1008.32,96.0,No,No,No,Yes,499.76,5,2026-05-21 03:22:54
INT003181,USER01210,Medicine,Apollo,Apollo,52.48,52.48,15.8,No,Yes,Yes,Yes,9.43,4,2026-06-22 00:13:21
INT003182,USER00316,Ride,Ola,Ola,269.79,269.79,0.2,No,No,No,Yes,68.93,4,2026-07-21 10:06:55
INT003183,USER00285,Medicine,Apollo,Netmeds,87.56,56.43,24.8,No,Yes,No,Yes,31.13,5,2026-04-07 07:40:01
INT003184,USER00067,Food,Swiggy,Zomato,122.02,162.67,0.38,No,No,No,Yes,0.0,3,2026-07-15 17:10:32
INT003185,USER01061,Ride,Rapido,Ola,34.88,34.97,0.07,No,Yes,Yes,Yes,0.0,3,2026-03-21 12:32:33
INT003186,USER01044,Shopping,Amazon,Amazon,20506.65,20506.65,24.0,Yes,No,Yes,Yes,1962.59,5,2026-06-27 11:40:18
INT003187,USER00150,Food,Zomato,Zomato,155.33,155.33,0.37,No,No,Yes,No,79.43,3,2026-06-28 20:29:09
INT003188,USER00097,Food,Zomato,Zomato,139.74,139.74,0.53,No,No,Yes,Yes,23.19,5,2026-02-16 00:11:52
INT003189,USER00518,Shopping,Flipkart,Flipkart,4374.32,4374.32,48.0,No,No,Yes,Yes,503.16,5,2026-04-07 13:05:56
INT003190,USER00004,Ride,Uber,Uber,527.07,527.07,0.18,No,No,Yes,Yes,99.47,4,2026-06-04 20:55:29
INT003191,USER01173,Medicine,Apollo,Apollo,125.08,125.08,15.0,No,No,Yes,Yes,0.0,5,2026-03-08 18:57:39
INT003192,USER00240,Shopping,Flipkart,Flipkart,12415.51,12415.51,24.0,No,No,No,Yes,490.23,5,2026-03-08 21:28:35
INT003193,USER00013,Shopping,Ajio,Ajio,1819.55,1819.55,48.0,Yes,No,No,Yes,591.48,5,2026-06-29 01:28:03
INT003194,USER02111,Shopping,Flipkart,Flipkart,4609.17,4609.17,24.0,No,No,Yes,Yes,2155.35,5,2026-06-10 23:10:55
INT003195,USER00003,Shopping,Flipkart,Flipkart,6588.6,6588.6,24.0,Yes,No,Yes,Yes,8316.61,4,2026-02-18 21:39:28
INT003196,USER00020,Shopping,Amazon,Amazon,6327.19,6327.19,48.0,Yes,Yes,No,No,5464.13,3,2026-06-03 22:53:18
INT003197,USER00318,Medicine,Apollo,Netmeds,62.12,52.53,34.6,No,Yes,No,Yes,9.59,4,2026-04-15 09:53:19
INT003198,USER00589,Ride,Ola,Ola,1043.8,1043.8,0.12,No,No,Yes,Yes,36.94,5,2026-05-14 21:56:05
INT003199,USER00064,Shopping,Amazon,Flipkart,48955.37,68397.9,216.0,No,Yes,Yes,Yes,0.0,3,2026-07-01 04:01:56
INT003200,USER00471,Food,Zomato,Zomato,248.54,248.54,0.52,No,No,Yes,Yes,10.88,5,2026-06-24 16:32:59
INT003201,USER01565,Medicine,PharmEasy,PharmEasy,180.97,180.97,34.7,Yes,No,Yes,Yes,58.38,4,2026-04-14 20:53:42
INT003202,USER01913,Shopping,Amazon,Amazon,1129.89,1129.89,24.0,No,No,No,Yes,581.5,5,2026-07-08 02:30:16
INT003203,USER00717,Food,Swiggy,Swiggy,313.14,313.14,0.58,Yes,No,No,Yes,49.87,4,2026-03-13 00:57:04
INT003204,USER00359,Ride,Uber,Uber,270.25,270.25,0.1,Yes,No,Yes,Yes,12.24,5,2026-04-15 17:38:12
INT003205,USER02818,Medicine,Apollo,Apollo,62.68,62.68,24.5,Yes,No,Yes,Yes,3.23,5,2026-04-13 08:36:46
INT003206,USER00050,Food,Swiggy,Swiggy,167.64,167.64,0.62,Yes,Yes,Yes,Yes,64.12,5,2026-02-23 19:45:05
INT003207,USER00083,Ride,Rapido,Rapido,225.43,225.43,0.08,Yes,No,Yes,Yes,19.66,5,2026-05-27 21:39:03
INT003208,USER00042,Ride,Ola,Ola,250.58,250.58,0.05,No,No,No,Yes,109.09,5,2026-06-16 03:08:43
INT003209,USER00819,Shopping,Amazon,Amazon,45127.85,45127.85,24.0,No,No,No,Yes,865.99,5,2026-04-06 18:10:25
INT003210,USER00132,Food,Swiggy,Swiggy,346.26,346.26,0.57,Yes,No,Yes,No,0.0,2,2026-07-20 09:36:32
INT003211,USER00074,Shopping,Flipkart,Flipkart,1144.28,1144.28,24.0,No,No,Yes,Yes,616.59,5,2026-05-11 14:13:51
INT003212,USER00517,Food,Zomato,Zomato,371.78,371.78,0.52,No,No,Yes,Yes,75.25,5,2026-07-03 23:01:26
INT003213,USER00065,Medicine,PharmEasy,PharmEasy,100.38,100.38,26.6,No,No,Yes,Yes,38.7,5,2026-04-26 08:41:24
INT003214,USER00502,Shopping,Amazon,Amazon,37445.27,37445.27,24.0,Yes,No,Yes,Yes,2069.37,5,2026-03-08 06:50:57
INT003215,USER00260,Ride,Uber,Uber,424.51,424.51,0.03,Yes,No,Yes,Yes,181.58,5,2026-02-26 10:58:35
INT003216,USER00568,Medicine,PharmEasy,Netmeds,124.89,133.32,36.2,No,No,No,Yes,33.42,5,2026-02-04 09:36:40
INT003217,USER01360,Shopping,Amazon,Flipkart,12748.13,15708.99,48.0,No,No,No,Yes,0.0,4,2026-02-17 05:50:46
INT003218,USER00143,Ride,Ola,Ola,171.81,171.81,0.08,Yes,Yes,No,Yes,9.84,4,2026-05-07 04:54:20
INT003219,USER02168,Shopping,Flipkart,Flipkart,8935.08,8935.08,24.0,No,No,Yes,Yes,5040.1,4,2026-05-06 02:30:52
INT003220,USER01832,Food,Swiggy,Swiggy,253.13,253.13,0.38,Yes,Yes,Yes,Yes,119.31,5,2026-05-30 16:43:26
INT003221,USER01904,Food,Zomato,Zomato,343.78,343.78,0.5,No,No,Yes,Yes,122.94,4,2026-05-05 10:28:12
INT003222,USER00068,Ride,Ola,Uber,651.08,708.11,0.18,No,No,No,Yes,0.0,5,2026-06-02 02:00:17
INT003223,USER01054,Shopping,Amazon,Amazon,13612.06,13612.06,24.0,No,No,Yes,Yes,4726.78,5,2026-06-07 07:44:55
INT003224,USER01762,Ride,Ola,Ola,81.12,81.12,0.03,Yes,No,No,Yes,52.96,4,2026-05-14 20:26:07
INT003225,USER00205,Food,Zomato,Zomato,143.52,143.52,0.68,No,Yes,No,No,22.77,1,2026-05-27 21:27:18
INT003226,USER02631,Food,Swiggy,Swiggy,126.94,126.94,0.37,Yes,No,Yes,Yes,1.05,4,2026-04-20 22:58:41
INT003227,USER02630,Medicine,Apollo,Netmeds,45.54,26.12,34.5,No,No,No,Yes,19.42,5,2026-05-18 14:55:34
INT003228,USER00104,Shopping,Flipkart,Flipkart,2297.21,2297.21,120.0,No,Yes,Yes,Yes,1019.33,4,2026-05-29 09:36:32
INT003229,USER02056,Ride,Uber,Uber,217.75,217.75,0.03,Yes,Yes,Yes,Yes,72.11,4,2026-07-28 13:22:18
INT003230,USER00119,Ride,Rapido,Rapido,179.7,179.7,0.13,No,Yes,Yes,Yes,156.47,5,2026-07-30 12:32:24
INT003231,USER00674,Shopping,Flipkart,Flipkart,10638.82,10638.82,24.0,No,No,Yes,Yes,386.79,4,2026-03-03 16:56:01
INT003232,USER00874,Shopping,Flipkart,Flipkart,8114.89,8114.89,48.0,No,Yes,Yes,No,1501.89,1,2026-07-11 06:48:24
INT003233,USER00088,Shopping,Amazon,Amazon,504.96,504.96,48.0,Yes,No,No,Yes,152.14,5,2026-06-30 12:07:07
INT003234,USER00041,Shopping,Ajio,Ajio,1941.04,1941.04,48.0,Yes,Yes,Yes,Yes,1829.81,4,2026-05-17 21:35:08
INT003235,USER00051,Shopping,Ajio,Ajio,2614.36,2614.36,120.0,No,No,No,Yes,1033.65,4,2026-06-24 14:27:46
INT003236,USER02205,Shopping,Flipkart,Flipkart,90648.03,90648.03,120.0,No,Yes,Yes,Yes,22837.06,5,2026-07-12 06:07:10
INT003237,USER00086,Ride,Ola,Ola,500.63,500.63,0.05,Yes,No,Yes,No,60.54,2,2026-02-02 21:05:22
INT003238,USER01980,Shopping,Flipkart,Flipkart,5026.3,5026.3,120.0,No,No,Yes,Yes,3392.56,4,2026-05-08 16:49:39
INT003239,USER01491,Medicine,Apollo,Apollo,81.83,81.83,10.3,No,No,Yes,No,0.0,2,2026-04-21 18:21:52
INT003240,USER00476,Medicine,Netmeds,Netmeds,26.29,26.29,21.4,No,No,Yes,Yes,1.31,5,2026-02-23 03:23:25
INT003241,USER02678,Food,Swiggy,Swiggy,142.92,142.92,0.57,Yes,No,No,Yes,30.58,4,2026-05-25 22:47:22
INT003242,USER00015,Medicine,Apollo,Apollo,89.85,89.85,13.2,No,No,Yes,Yes,9.44,4,2026-06-28 09:50:29
INT003243,USER00322,Shopping,Amazon,Amazon,4366.03,4366.03,48.0,No,No,Yes,Yes,993.67,5,2026-04-21 01:20:18
INT003244,USER00707,Ride,Rapido,Rapido,260.04,260.04,0.08,No,No,Yes,No,56.82,1,2026-07-11 01:36:33
INT003245,USER01805,Food,Zomato,Swiggy,379.1,322.82,0.58,No,No,Yes,Yes,56.28,5,2026-06-23 22:37:03
INT003246,USER01385,Shopping,Flipkart,Flipkart,1141.91,1141.91,96.0,No,No,Yes,Yes,490.0,5,2026-03-14 16:04:55
INT003247,USER01544,Medicine,Apollo,Netmeds,267.13,240.37,17.9,No,No,No,Yes,26.76,4,2026-03-09 14:31:46
INT003248,USER01217,Ride,Uber,Uber,170.86,170.86,0.12,Yes,No,Yes,Yes,11.1,4,2026-07-27 16:23:43
INT003249,USER00499,Shopping,Amazon,Ajio,15557.06,13725.94,72.0,Yes,No,No,Yes,1831.12,3,2026-07-04 20:26:14
INT003250,USER00945,Food,Zomato,Zomato,166.73,166.73,0.42,No,No,Yes,Yes,193.16,5,2026-06-14 07:54:18
INT003251,USER00345,Shopping,Flipkart,Flipkart,1138.37,1138.37,24.0,Yes,No,No,Yes,395.5,4,2026-06-30 00:32:18
INT003252,USER00342,Medicine,Apollo,Netmeds,13.26,14.76,23.9,No,No,No,Yes,0.0,4,2026-05-06 06:25:21
INT003253,USER00065,Shopping,Flipkart,Flipkart,30178.25,30178.25,72.0,No,No,Yes,Yes,5763.3,5,2026-05-07 07:37:32
INT003254,USER01807,Shopping,Amazon,Amazon,127131.39,127131.39,72.0,Yes,Yes,Yes,Yes,8335.84,4,2026-05-08 06:35:13
INT003255,USER02696,Food,Swiggy,Swiggy,139.63,139.63,0.63,No,No,Yes,No,50.3,3,2026-05-03 18:07:53
INT003256,USER00731,Food,Swiggy,Swiggy,106.76,106.76,0.52,Yes,No,No,Yes,37.16,5,2026-04-27 23:59:53
INT003257,USER00372,Food,Zomato,Zomato,294.08,294.08,0.42,No,No,No,Yes,37.84,5,2026-05-06 09:14:04
INT003258,USER02926,Shopping,Flipkart,Flipkart,1439.86,1439.86,96.0,Yes,No,No,Yes,1370.45,5,2026-07-16 11:13:46
INT003259,USER02634,Food,Swiggy,Swiggy,144.33,144.33,0.27,Yes,No,Yes,Yes,49.68,5,2026-04-13 02:25:37
INT003260,USER00520,Shopping,Amazon,Amazon,1297.89,1297.89,96.0,Yes,No,No,Yes,1804.25,4,2026-02-23 04:00:05
INT003261,USER00556,Ride,Ola,Ola,408.13,408.13,0.15,No,No,No,No,131.87,3,2026-05-21 14:08:51
INT003262,USER00165,Shopping,Ajio,Flipkart,749.1,1234.63,96.0,No,No,Yes,Yes,76.3,5,2026-04-26 22:20:55
INT003263,USER01074,Food,Swiggy,Swiggy,124.23,124.23,0.65,No,No,Yes,Yes,47.68,4,2026-07-10 02:58:39
INT003264,USER00326,Food,Swiggy,Swiggy,114.74,114.74,0.6,Yes,Yes,Yes,Yes,49.54,4,2026-03-21 15:25:58
INT003265,USER00477,Ride,Ola,Ola,199.95,199.95,0.07,Yes,No,Yes,Yes,2.7,5,2026-04-24 01:35:45
INT003266,USER00026,Shopping,Flipkart,Flipkart,3251.06,3251.06,24.0,No,No,Yes,Yes,1891.62,5,2026-05-27 06:24:13
INT003267,USER00092,Food,Zomato,Swiggy,350.48,398.2,0.5,No,Yes,No,Yes,0.0,4,2026-06-17 10:17:18
INT003268,USER00710,Ride,Ola,Ola,413.15,413.15,0.07,No,Yes,Yes,Yes,80.83,5,2026-05-29 03:09:33
INT003269,USER00252,Food,Zomato,Zomato,72.47,72.47,0.5,No,No,Yes,Yes,39.43,5,2026-06-25 16:11:03
INT003270,USER00029,Ride,Ola,Ola,441.03,441.03,0.1,No,No,No,Yes,192.83,5,2026-05-06 19:02:33
INT003271,USER00691,Ride,Uber,Ola,292.6,375.59,0.1,No,No,No,Yes,0.0,5,2026-05-22 12:21:47
INT003272,USER00093,Food,Zomato,Zomato,380.43,380.43,0.6,No,No,Yes,Yes,52.13,4,2026-03-30 16:30:02
INT003273,USER00858,Shopping,Amazon,Amazon,26840.95,26840.95,96.0,No,No,Yes,Yes,4276.07,4,2026-04-07 12:27:06
INT003274,USER00542,Shopping,Flipkart,Flipkart,2160.5,2160.5,96.0,No,No,Yes,Yes,1783.65,5,2026-05-07 12:27:00
INT003275,USER02167,Food,Swiggy,Swiggy,215.57,215.57,0.47,No,No,No,Yes,135.99,5,2026-06-24 20:11:53
INT003276,USER01445,Food,Swiggy,Swiggy,276.35,276.35,0.52,No,No,Yes,Yes,118.87,5,2026-02-19 14:53:44
INT003277,USER02208,Ride,Ola,Ola,389.41,389.41,0.02,No,No,No,Yes,140.09,3,2026-03-22 04:06:45
INT003278,USER00020,Shopping,Flipkart,Flipkart,379.36,379.36,72.0,No,No,No,Yes,29.09,5,2026-06-20 11:30:51
INT003279,USER00765,Medicine,PharmEasy,PharmEasy,91.05,91.05,22.9,No,No,No,Yes,76.1,5,2026-04-13 02:26:22
INT003280,USER00343,Ride,Ola,Rapido,231.52,295.23,0.1,No,No,Yes,Yes,0.0,4,2026-02-06 18:11:35
INT003281,USER00648,Shopping,Flipkart,Flipkart,2659.82,2659.82,120.0,No,No,Yes,Yes,0.0,5,2026-02-23 18:42:17
INT003282,USER00331,Food,Zomato,Zomato,241.33,241.33,0.65,Yes,Yes,Yes,Yes,159.37,5,2026-02-04 18:46:52
INT003283,USER00066,Food,Zomato,Zomato,315.28,315.28,0.43,No,No,No,Yes,56.6,5,2026-05-11 11:10:16
INT003284,USER00867,Ride,Uber,Uber,286.55,286.55,0.12,No,No,Yes,Yes,35.68,4,2026-04-04 17:10:13
INT003285,USER02151,Shopping,Amazon,Amazon,10236.46,10236.46,72.0,No,Yes,Yes,Yes,0.0,4,2026-04-30 23:22:05
INT003286,USER01840,Shopping,Amazon,Amazon,46924.7,46924.7,72.0,Yes,No,Yes,Yes,33232.23,5,2026-04-09 12:08:46
INT003287,USER00272,Food,Swiggy,Swiggy,319.18,319.18,0.48,Yes,No,Yes,Yes,85.54,5,2026-04-19 14:30:44
INT003288,USER00638,Food,Swiggy,Swiggy,217.66,217.66,0.67,No,No,Yes,Yes,13.19,4,2026-04-10 07:52:45
INT003289,USER00322,Ride,Rapido,Rapido,176.32,176.32,0.02,No,No,Yes,Yes,24.78,5,2026-05-17 01:07:04
INT003290,USER01349,Ride,Ola,Ola,489.45,489.45,0.13,Yes,No,No,No,149.32,2,2026-07-08 18:33:20
INT003291,USER00592,Shopping,Flipkart,Flipkart,22292.55,22292.55,72.0,No,Yes,No,Yes,10643.44,5,2026-02-22 08:34:21
INT003292,USER00246,Medicine,PharmEasy,PharmEasy,258.11,258.11,25.9,No,No,No,Yes,179.38,5,2026-04-22 20:37:34
INT003293,USER01462,Food,Swiggy,Swiggy,179.23,179.23,0.68,Yes,No,Yes,Yes,1.34,5,2026-07-30 05:59:42
INT003294,USER00525,Ride,Rapido,Rapido,41.16,41.16,0.05,No,No,Yes,Yes,9.79,5,2026-05-18 07:38:15
INT003295,USER01837,Food,Zomato,Zomato,176.17,176.17,0.33,No,No,Yes,No,41.49,2,2026-04-28 04:15:53
INT003296,USER00086,Food,Zomato,Zomato,157.4,157.4,0.62,No,No,No,Yes,15.64,5,2026-02-09 15:24:38
INT003297,USER00229,Shopping,Flipkart,Flipkart,23360.45,23360.45,120.0,No,No,Yes,Yes,29710.14,5,2026-02-01 09:38:27
INT003298,USER00045,Ride,Ola,Ola,133.49,133.49,0.02,Yes,No,Yes,Yes,85.86,5,2026-05-26 07:29:24
INT003299,USER01002,Food,Swiggy,Swiggy,211.82,211.82,0.63,Yes,Yes,No,Yes,10.69,4,2026-03-15 10:14:17
INT003300,USER01704,Shopping,Amazon,Amazon,18522.99,18522.99,96.0,No,No,Yes,Yes,2431.31,5,2026-05-09 18:56:54
INT003301,USER00430,Shopping,Ajio,Ajio,2409.46,2409.46,48.0,Yes,No,Yes,Yes,2801.39,5,2026-04-10 13:43:44
INT003302,USER00501,Food,Swiggy,Swiggy,118.29,118.29,0.57,No,No,Yes,Yes,28.82,5,2026-04-19 03:35:49
INT003303,USER00082,Food,Zomato,Swiggy,216.92,276.48,0.48,No,No,No,Yes,0.0,4,2026-04-05 02:47:26
INT003304,USER00342,Food,Zomato,Zomato,133.71,133.71,0.3,Yes,No,Yes,Yes,79.31,5,2026-02-18 09:35:23
INT003305,USER00295,Ride,Uber,Uber,407.05,407.05,0.08,Yes,No,No,Yes,55.18,5,2026-03-25 23:30:10
INT003306,USER00312,Ride,Uber,Uber,310.52,310.52,0.05,Yes,No,Yes,Yes,251.68,5,2026-06-04 03:50:39
INT003307,USER02324,Medicine,Apollo,Apollo,141.62,141.62,20.3,No,No,No,Yes,23.28,4,2026-05-11 08:38:18
INT003308,USER02227,Shopping,Ajio,Ajio,1309.74,1309.74,24.0,No,No,Yes,Yes,851.89,5,2026-03-18 16:07:43
INT003309,USER00024,Food,Zomato,Zomato,189.51,189.51,0.62,Yes,No,Yes,Yes,84.07,5,2026-06-26 14:07:51
INT003310,USER00454,Food,Swiggy,Swiggy,146.84,146.84,0.5,Yes,No,Yes,Yes,9.12,5,2026-05-08 00:38:27
INT003311,USER00413,Medicine,Apollo,Apollo,109.32,109.32,25.1,No,No,Yes,Yes,7.86,5,2026-04-19 05:39:44
INT003312,USER01252,Ride,Rapido,Rapido,410.78,410.78,0.1,No,Yes,Yes,Yes,209.22,5,2026-05-01 04:22:48
INT003313,USER00695,Medicine,Apollo,Apollo,97.66,97.66,19.0,No,No,Yes,Yes,0.0,5,2026-05-06 12:42:55
INT003314,USER02205,Ride,Ola,Ola,183.72,183.72,0.08,No,No,Yes,Yes,0.0,5,2026-02-25 23:54:28
INT003315,USER00123,Shopping,Flipkart,Amazon,3233.49,1824.7,120.0,Yes,No,No,Yes,1408.79,5,2026-04-21 22:54:37
INT003316,USER01081,Shopping,Ajio,Ajio,1649.17,1649.17,24.0,No,No,Yes,Yes,474.36,5,2026-05-12 20:53:36
INT003317,USER02526,Food,Zomato,Zomato,198.05,198.05,0.57,No,No,No,Yes,34.23,5,2026-06-11 05:11:30
INT003318,USER00925,Shopping,Flipkart,Flipkart,7378.28,7378.28,24.0,No,Yes,Yes,Yes,2396.96,3,2026-05-02 01:45:04
INT003319,USER00018,Shopping,Amazon,Amazon,6878.68,6878.68,72.0,No,No,Yes,Yes,152.24,5,2026-06-06 15:54:54
INT003320,USER00091,Food,Swiggy,Swiggy,203.47,203.47,0.65,Yes,No,Yes,Yes,3.39,5,2026-04-20 16:25:38
INT003321,USER02052,Ride,Uber,Uber,384.5,384.5,0.07,No,Yes,No,Yes,40.02,5,2026-02-19 19:25:03
INT003322,USER01145,Ride,Ola,Ola,281.17,281.17,0.08,No,No,Yes,Yes,38.07,4,2026-07-01 03:57:43
INT003323,USER01064,Food,Zomato,Swiggy,180.9,176.13,0.62,No,No,No,Yes,4.77,4,2026-07-09 04:30:56
INT003324,USER01383,Shopping,Amazon,Amazon,11129.61,11129.61,48.0,No,No,Yes,Yes,12.85,3,2026-05-26 10:46:48
INT003325,USER00763,Food,Swiggy,Swiggy,224.81,224.81,0.52,Yes,No,No,Yes,78.69,5,2026-07-31 23:27:39
INT003326,USER00996,Ride,Ola,Uber,81.63,76.76,0.03,No,No,No,Yes,4.87,4,2026-05-24 19:05:52
INT003327,USER01139,Medicine,Apollo,Apollo,139.38,139.38,10.2,Yes,No,Yes,Yes,0.0,5,2026-02-07 12:18:50
